"","V1","V2","geometry"
"126","48.8197679797","2.31108181303","c(48.8197679797, 2.31108181303)"
"127","48.8419522997","2.33805803995","c(48.8419522997, 2.33805803995)"
"128","48.6994625985","2.36010806687","c(48.6994625985, 2.36010806687)"
"129","48.7170836652","2.29490112532","c(48.7170836652, 2.29490112532)"
"130","48.8624787858","2.49820814709","c(48.8624787858, 2.49820814709)"
"131","48.7179194367","2.24650141633","c(48.7179194367, 2.24650141633)"
"132","48.8958125541","2.32265651741","c(48.8958125541, 2.32265651741)"
"133","48.7415254951","2.30273620469","c(48.7415254951, 2.30273620469)"
"134","48.8838512223","2.51062083627","c(48.8838512223, 2.51062083627)"
"135","48.8642533844","2.27791676203","c(48.8642533844, 2.27791676203)"
"136","48.9015246409","2.39420880197","c(48.9015246409, 2.39420880197)"
"137","48.7856440203","2.33297020842","c(48.7856440203, 2.33297020842)"
"138","48.836313065","2.47946108511","c(48.836313065, 2.47946108511)"
"139","48.7626577611","2.28177153609","c(48.7626577611, 2.28177153609)"
"140","48.9075771213","2.32698865631","c(48.9075771213, 2.32698865631)"
"141","48.7980113748","2.33310523585","c(48.7980113748, 2.33310523585)"
"142","48.8039300131","2.42366820161","c(48.8039300131, 2.42366820161)"
"143","48.7959941324","2.36823145192","c(48.7959941324, 2.36823145192)"
"144","48.7580137067","2.26981354096","c(48.7580137067, 2.26981354096)"
"145","48.8268885881","2.32626955218","c(48.8268885881, 2.32626955218)"
"146","48.8115157423","2.28084839002","c(48.8115157423, 2.28084839002)"
"147","48.8813242939","2.31659676151","c(48.8813242939, 2.31659676151)"
"148","48.9075296104","2.45378015295","c(48.9075296104, 2.45378015295)"
"149","48.8347981256","2.33303422361","c(48.8347981256, 2.33303422361)"
"150","48.9220085246","2.31452130414","c(48.9220085246, 2.31452130414)"
"151","48.8037696633","2.36390930639","c(48.8037696633, 2.36390930639)"
"152","48.927234149","2.43839912973","c(48.927234149, 2.43839912973)"
"153","48.8372248336","2.33543026883","c(48.8372248336, 2.33543026883)"
"154","48.8034027917","2.54994619988","c(48.8034027917, 2.54994619988)"
"155","48.7838227864","2.44705571552","c(48.7838227864, 2.44705571552)"
"156","48.7787615361","2.2605388117","c(48.7787615361, 2.2605388117)"
"157","48.9640248452","2.19151729327","c(48.9640248452, 2.19151729327)"
"158","48.8170113708","2.49767247074","c(48.8170113708, 2.49767247074)"
"159","48.8874368425","2.32572522202","c(48.8874368425, 2.32572522202)"
"160","48.7719980381","2.25384502072","c(48.7719980381, 2.25384502072)"
"161","48.9552910813","2.21685537649","c(48.9552910813, 2.21685537649)"
"162","48.8216574912","2.51086224219","c(48.8216574912, 2.51086224219)"
"163","48.8093869241","2.47085527499","c(48.8093869241, 2.47085527499)"
"164","48.7665580535","2.28062526541","c(48.7665580535, 2.28062526541)"
"165","48.946638071","2.23768229633","c(48.946638071, 2.23768229633)"
"166","48.8245589152","2.49924753688","c(48.8245589152, 2.49924753688)"
"167","48.8836801093","2.34953280365","c(48.8836801093, 2.34953280365)"
"168","48.9231426557","2.38454987656","c(48.9231426557, 2.38454987656)"
"169","48.9339494466","2.26347350947","c(48.9339494466, 2.26347350947)"
"170","48.81919819","2.52636978338","c(48.81919819, 2.52636978338)"
"171","48.8542609216","2.30543956054","c(48.8542609216, 2.30543956054)"
"172","48.9185292262","2.45429580746","c(48.9185292262, 2.45429580746)"
"173","48.9291173413","2.26821318797","c(48.9291173413, 2.26821318797)"
"174","48.7772177623","2.45524213247","c(48.7772177623, 2.45524213247)"
"175","48.8609749972","2.36726229502","c(48.8609749972, 2.36726229502)"
